candidate_id,layer_count,sources_per_layer_mean,radius,z_extent,angular_offset_fraction,orientation_alpha,eig_smooth_background,eig_center_weak_target,eig_eccentric_roi_target,eig_weighted,eig_weighted_minmax,eig_weighted_zscore
cand_0152,3,16.0,1.4009477373066364,0.5778046591526262,0.4165828118319522,0.2908939769269986,3.3501033782958984,3.383949041366577,3.430649995803833,3.3872808694839476,0.6127216429451109,1.0517786960393087
cand_0228,4,12.0,1.3964562664236886,0.5024520886909734,0.4781404234800071,0.8264588001258721,3.3374459743499756,3.371526002883911,3.413738489151001,3.373317050933838,0.5846085796479391,0.9231838539008073
cand_0175,2,24.0,1.488787312942311,0.5370941708944657,0.66655585150594,0.11630857200273753,3.3277547359466553,3.3648040294647217,3.4075160026550293,3.3657181680202486,0.5693099079005991,0.8532046325871395
cand_0124,4,12.0,1.379690892099219,0.5446666732205284,0.4036768234188445,0.5286904554673952,3.325269937515259,3.3595707416534424,3.402815103530884,3.3616198778152464,0.5610589061040667,0.8154628802105381
cand_0110,1,48.0,1.269318897064585,0.0,0.3677981791767509,0.04017667104023968,3.3247082233428955,3.3510491847991943,3.407522439956665,3.3601836562156677,0.5581673912513903,0.8022365059769457
cand_0083,3,16.0,1.317505794500093,0.20683363030443472,0.22704484089939425,0.5623464484294227,3.3244194984436035,3.3562352657318115,3.4014294147491455,3.3597878456115726,0.5573705140557517,0.7985914283810358
cand_0091,2,24.0,1.3535721542082564,0.19058607573240727,0.9906493438048662,0.23711965060006,3.322774887084961,3.3549726009368896,3.4042165279388428,3.3597076773643497,0.5572091130034168,0.7978531472970218
cand_0143,4,12.0,1.3690943298924765,0.38021426921223167,0.4793531322152003,0.27762395604383633,3.3223960399627686,3.356051445007324,3.402644157409668,3.3594146847724913,0.5566192371574252,0.7951549357753968
cand_0225,4,12.0,1.2509681688002443,0.1940251533553827,0.9540643426279122,0.8509980740599336,3.322711229324341,3.3542070388793945,3.397510051727295,3.357256984710693,0.5522751848342037,0.7752843611303969
cand_0055,4,12.0,1.3104220339025614,0.3413287482966128,0.6689802049236302,0.8912887149115196,3.322434186935425,3.3556442260742188,3.395833969116211,3.3570823788642885,0.5519236545422272,0.773676390418498
cand_0052,1,48.0,1.267468729272693,0.0,0.7942333104729505,0.23109636811773668,3.3218588829040527,3.3482353687286377,3.402437686920166,3.35661935210228,0.5509914524642701,0.76941230941854
cand_0080,3,16.0,1.3249525420404007,0.2665038543874134,0.6787959637753603,0.05182988073323192,3.317627429962158,3.349674940109253,3.397860527038574,3.3541186273097994,0.5459567956383072,0.7463827699865508
cand_0109,1,48.0,1.2717602246623636,0.0,0.1457324598204143,0.21511873126936573,3.318160057067871,3.344538688659668,3.398930311203003,3.352983444929123,0.5436713567372452,0.7359287098369114
