architecture,num_sources,num_layers,layer_zs,target_x,target_y,target_z,phantom,rmse_global,rmse_roi,rmse_axial_lower,rmse_axial_middle,rmse_axial_upper
single_layer_center,48,1,0,0.0,0.0,0.0,geometric_shapes,0.002292630817749599,0.00653674238408511,0.00198305471346399,0.002511406772925297,0.002371570027992321
double_layer_staggered_center,48,2,-0.32;0.32,0.0,0.0,0.0,geometric_shapes,0.0030260104519486664,0.00689507810307595,0.0019829268118829093,0.0026065254522209583,0.004065642302881777
triple_layer_staggered_center,48,3,-0.45;0;0.45,0.0,0.0,0.0,geometric_shapes,0.0023716127817866137,0.006689099126413305,0.002087488928261955,0.0026194324550794018,0.002401468032578571
triple_layer_staggered_roi,48,3,-0.45;0;0.45,0.25,-0.2,0.15,geometric_shapes,0.002351021773018536,0.006985714248022402,0.0019017855399467239,0.0026306694525315114,0.0024842196460193146
single_layer_center,48,1,0,0.0,0.0,0.0,smooth_roi_target,0.001754355859548985,0.006154273253160825,0.0017834010033490942,0.0014909914954430805,0.001937012613204237
double_layer_staggered_center,48,2,-0.32;0.32,0.0,0.0,0.0,smooth_roi_target,0.002301482364984564,0.006185828863113578,0.0016768827588999541,0.0014369040217253673,0.003274141790512129
triple_layer_staggered_center,48,3,-0.45;0;0.45,0.0,0.0,0.0,smooth_roi_target,0.0017360113492617207,0.006262972565437601,0.0017801865802692396,0.0014279108643397245,0.0019350952929606763
triple_layer_staggered_roi,48,3,-0.45;0;0.45,0.25,-0.2,0.15,smooth_roi_target,0.001829697105431672,0.006474693035379891,0.0017399439314199168,0.0014623707754217617,0.0021834624577114765
