candidate_id,layer_count,sources_per_layer_mean,radius,z_extent,angular_offset_fraction,orientation_alpha,eig_smooth_background,eig_center_weak_target,eig_eccentric_roi_target,eig_weighted,eig_weighted_minmax,eig_weighted_zscore,dprime2_center_small_target,dprime_center_small_target,dprime2_eccentric_roi_target,dprime_eccentric_roi_target,dprime2_material_contrast,dprime_material_contrast,task_utility_min_dprime2,task_utility_mean_dprime2,task_utility_min_dprime,dprime_rank,eig_rank_within_top
cand_0236,2,24.0,1.2567988720305119,0.4102591976763933,0.807994914695482,0.20763336102228466,3.450038433074951,3.487091302871704,3.5321531295776367,3.4887678921222687,0.8170433391225703,1.9863874929417267,21409.64510913223,146.32035097392375,19156.37926953433,138.40657234948898,49442.64274927197,222.35701641565524,19156.37926953433,30002.889042646177,138.40657234948898,1,7
cand_0172,2,24.0,1.3259169024705042,0.5678229211440704,0.7107126582137032,0.13019147551258778,3.4661214351654053,3.50342059135437,3.5511744022369385,3.505885875225067,0.8515066158231337,2.14402949659098,21687.08662444801,147.26536125120532,18960.10242376468,137.6956877457122,49013.014978247236,221.3888320991988,18960.10242376468,29886.73467548664,137.6956877457122,2,5
cand_0231,2,24.0,1.3227533059803067,0.5881710238186759,0.6559335972797968,0.17423060413239005,3.4757885932922363,3.5132007598876953,3.5612263679504395,3.5157148241996765,0.8712950328436134,2.23454572159359,21692.37487966862,147.28331500773814,18856.23610707203,137.31801086191143,49300.06636698766,222.03618256263474,18856.23610707203,29949.559117909434,137.31801086191143,3,3
cand_0149,2,24.0,1.2732860341459513,0.276228144286428,0.024569032429191662,0.018620205036012725,3.4225032329559326,3.458064556121826,3.5047037601470947,3.460775834321976,0.7606875156826018,1.7286045490397342,20480.413900700634,143.1097966622154,18852.252024156503,137.3035033207693,49336.73637228669,222.11874385626865,18852.252024156503,29556.467432381276,137.3035033207693,4,13
cand_0125,3,16.0,1.3087665514270566,0.5793754993231798,0.3464430811141058,0.07807156524087017,3.415565252304077,3.4491231441497803,3.50056529045105,3.4540965795516967,0.7472403120068334,1.667094317457689,20925.476628248187,144.65640887374533,18812.676444341338,137.15931045445416,48895.36298125065,221.12295896457846,18812.676444341338,29544.505351280055,137.15931045445416,5,15
cand_0217,3,16.0,1.319540901117069,0.45110759452678184,0.018328024990578336,0.20399610496746332,3.4013640880584717,3.4365289211273193,3.4823758602142334,3.4391214847564697,0.7170912674350629,1.5291864848479466,20888.029006168872,144.52691446982763,18809.626372420174,137.14819128380867,49305.57809503015,222.04859399471582,18809.626372420174,29667.744491206395,137.14819128380867,6,20
cand_0097,3,16.0,1.2622009435546346,0.5566077076722565,0.3354736697674767,0.22516225716721489,3.4606778621673584,3.494150161743164,3.543954610824585,3.4986213028430946,0.8368810044641498,2.0771289897338416,20937.754969314807,144.6988423219578,18644.996931892132,136.54668407505227,49900.62673154431,223.38448185033872,18644.996931892132,29827.79287758375,136.54668407505227,7,6
cand_0017,4,12.0,1.2836168975836408,0.5647437789905599,0.16366755839557473,0.268529825051722,3.432281970977783,3.466798782348633,3.5135762691497803,3.4699205815792085,0.7790984437218526,1.8128198606123056,20805.8582761721,144.24235950708828,18578.97251440618,136.3047046671764,50057.0225868421,223.7342677974076,18578.97251440618,29813.951125806794,136.3047046671764,8,12
cand_0007,3,16.0,1.2958881625760221,0.5832733779768997,0.06740085309064531,0.24291143280203215,3.479065179824829,3.5138168334960938,3.56302809715271,3.5176474153995514,0.8751858782119252,2.2523432358891493,20975.65609063237,144.82974863829727,18555.203839233705,136.21748727396826,49851.543063514946,223.2745911731,18555.203839233705,29794.134331127007,136.21748727396826,9,2
cand_0179,2,24.0,1.3341249977316247,0.49175694496291866,0.2146875351459651,0.4043605602266059,3.4122588634490967,3.4491889476776123,3.4920153617858887,3.450182002782822,0.7393591766218313,1.631044408915404,21615.739290264264,147.0229209690253,18552.93057805417,136.20914278437468,50175.6873008516,223.99930200974197,18552.93057805417,30114.785723056677,136.20914278437468,10,17
cand_0201,4,12.0,1.2586768315799703,0.5916433557976395,0.0052910702599402275,0.39959230686947106,3.4134576320648193,3.4493439197540283,3.493312120437622,3.4510733842849737,0.741153776322622,1.639253271207839,20750.83385705916,144.05149723990777,18367.4540047123,135.52658043613548,51059.02177956277,225.9624344433445,18367.4540047123,30059.103213778075,135.52658043613548,11,16
cand_0200,2,24.0,1.419517752917683,0.5932709854265663,0.43029489548757527,0.3381328541757412,3.392143487930298,3.429157018661499,3.4738683700561523,3.430733472108841,0.700203857329149,1.451940052691384,21706.844496406142,147.3324285295201,18286.688122060455,135.22828151707193,49487.27497905525,222.4573554168422,18286.688122060455,29826.935865840613,135.22828151707193,12,22
cand_0035,2,24.0,1.3596099026732307,0.43433821674727324,0.17781438570978367,0.6109985040522047,3.396237850189209,3.4332590103149414,3.4740192890167236,3.433548694849015,0.7058716862833949,1.4778658496041877,21473.141312232645,146.5371669994771,18127.257871679518,134.63750544212974,50882.11932371248,225.57065262066448,18127.257871679518,30160.83950254155,134.63750544212974,13,21
cand_0008,3,16.0,1.2526072930935053,0.2192831033093509,0.19766881010523443,0.4792478401565754,3.3916079998016357,3.4238951206207275,3.469787836074829,3.4275097608566285,0.6937136270128476,1.4222524254789033,20040.953312954956,141.56607401830058,18092.927609912975,134.50995357189362,51977.79858380937,227.98639999747652,18092.927609912975,30037.226502225763,134.50995357189362,14,24
